T27062;2026-09-23;18:21:33
Código de Integração;DESCRIÇÃO LOCAL;RAZÃO SOCIAL LOCAL;ATIVO LOCAL;PAÍS;ESTADO;CIDADE;BAIRRO;TIPO LOGRADOURO;LOGRADOURO;NÚMERO LOGRADOURO;COMPLEMENTO LOGRADOURO;CEP;NÚMERO TELEFONE CELULAR;NUMERO TELEFONE FIXO;E-MAIL;OBSERVAÇÃO;IDENTIFICADOR PESSOA RESPONSÁVEL;Transportadora;Títulos Vencidos;Forma de Pagamento Sugerida;Prazo de Pagamento Sugerido;Títulos A Vencer;Notas Fiscais;Contato;Formas de Pagamentos Disponíveis;Prazos de Pagamentos Disponíveis;Tipo de Frete;Entregas Realizadas;Pedidos
77024443;MATEUS ESPIRITO SANTO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024581;RUSSO AV. BRASIL;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024105;BORRACHARIA INTENDENTE  LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023998;ALAN FERREIRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024115;BORRACHEIRO 2 IRMÃOS (USADOS);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024351;JK PIRAQUARA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024373;JR ELEKTRA;;1;Brasil;RIO DE JANEIRO;NOVA IGUAÇU;CENTRO;AVENIDA;NILO PEÇANHA;1042;QUADRA A;26210011;;;;;;;;;;;;;;;;;
77024374;JSM PEÇAS E ACESSÓRIOS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024385;KLEBER  SANTOS  (MARICÁ);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024386;LC;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024415;LUIZ CESAR ( AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024626;TRANSFORMES AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024098;BORRACHARIA DAS AMERICAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024135;CANDIDO (CASA DE OLÉO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024137;C A PRONTO ( ADRIANO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024138;CAQUINHO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024139;CARECA  RIO DA PRATA  (ALEXANDRE MARQUES PITA );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024036;ANDRES LU REBOQUES E CARRETINHAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024053;AUTO CENTER COOP;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024054;AUTO CENTER GERICINO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024096;BORRACHARIA CABUÇU;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024206;DIEGO ( Tijuca);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024207;DIEGO VIZINHO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024284;(GARANTIA) PARRINI AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024097;BORRACHARIA CATUMBI (BRUNO SARMENTO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024219;EDGARD;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024298;GEOVANE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024390;LC PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024391;LEANDRO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024453;MICHEL;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024454;MICHEL PORTA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024299;GEOVANE NASCIMENTO DA SILVA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024468;MULTIRIO IMPORT  AUTOCENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024317;HV AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024469;MUNIQUE RUFINO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024325;INKAL  AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024470;NANDO AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024326;Iranildo;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024482;NOVA KART;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024471;NASCAR COMERCIO E SERVIÇOS PEÇAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023993;ADRIANO ROGERIO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024477;NJ AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024529;RAEL;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024530;RAFAEL (AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024543;REVOLUCAR  PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024208;DIOMEDIO (AMIGO DO PAULISTA );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024209;DNEY LOPES PENIDO (BORRACHEIRO PENIDO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024210;DOIS Z  PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024212;DOUGLAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024213;DOUGLAS FARIAS FERREIRA (BAIXINHO RIO BONITO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023987;2F;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023990;5 RODAS AUTO PEÇAS;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;SANTA CRUZ;AVENIDA;AVENIDA SANTA CRUZ;2765;LOJA;23510360;;;;;;;;;;;;;;;;;
77024003;ALEXANDRE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024337;JEAN  ( BENTO RIBEIRO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024336;JCL  PNEUS E PEÇAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024488;OSVALDO  ( GRAFICA DOS TALÕES);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024014;ALEX SAQUAREMA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024031;ANDERSON (SEGURANÇA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023992;ADRIANA  GUERRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023994;ADSON CAMPOS FERREIRA (MINEIRO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023995;AERO AUTO CENTER  ( SIMAR);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023997;A K X SERVIÇOS E COMÉRCIO DE PNEUS LTDA EPP;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024001;ALEX (AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024002;ALEXANDER BALBINO SILVA ( DINHO PAVUNA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024004;ALEXANDRE (AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023996;AILTON ( BACALHAU);;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023999;ALESSANDRO (AMIGO DO PAULISTA);;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024005;ALEXANDRE  BESSOT;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024006;ALEXANDRE DE MELO SOARES;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024007;ALEXANDRE  - ESTAÇÃO DE SERVIÇOS A. TAÚA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024008;ALEXANDRE   ( ILHA );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024010;ALEXANDRE MARQUES PITA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024011;ALEX(BACALHAU);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024012;ALEX DO BACALHAU;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024013;ALEX  (HADDOCK LOBO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024015;ALISSON  ( AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024016;ALLAN  (VIZINHO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024017;ALMIR DE SOUZA PM(PORTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024019;AMARANTES;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024032;ANDRADE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024021;AMIGO DE PAULISTA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024022;AMIGO DO MARLON;;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024023;AMIGO DO PAULISTA .;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024024;AMIGO DO PAULISTA ( CIVIL);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024025;AMIGO PAULISTA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024026;AMIGOS DA ILHA COM. DE PNEUS E ACESSÓRIOS LTDA - ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024027;AM PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024028;ANDERSON  ( Gordinho );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024029;ANDERSON (GORDINHO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024030;ANDERSON PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024033;ANDRÉ ( AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024034;ANDREIA (BANGU);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024035;ANDRÉ SEGANTIN;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024037;ANSELMO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024038;ARAUJO AUTO CENTER;;1;Brasil;RIO DE JANEIRO;DUQUE DE CAXIAS;JARDIM ANHANGÁ;;;;;;;;;;;;;;;;;;;;;;
77024040;ARCA AUTO CENTER LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024041;ARIANE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024042;ARIEL PADARIA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024045;ARLI DA SILVA FILHO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024046;ARO 17  ( SERGIO R. MIRANDA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024047;ARTHUR AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024039;ARAUJO E AZEVEDO COMERCIO DE PEÇAS LTDA - ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024048;ARTHUR  (PORTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024049;ARYEL;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024050;AUTO BOX  (MARCIO XERÉM );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024051;AUTO CENTER 3 IRMÃOS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024052;AUTO CENTER BONSUCESSO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024063;AUTO ESCOLA ILHA BELA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024055;AUTO CENTER LOUZADA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024056;AUTO CENTER ONZE 66 EIRELI - ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024058;BIRA AUTO CENTER;AUTO CENTER SANTA CRUZ EIRELLI;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;SANTA CRUZ;RUA;RUA FERNANDA;407;LOJA;23515121;;2131578296;;;;;;;;;;;;;;;
77024057;AUTO CENTER POSTO MASCARENHAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024081;BENE (DO CHURRASQUINHO );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024059;AUTO CENTER SANTA CRUZ   ( JET POINT );;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024061;AUTO CENTER TREVO DE MERITI LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024062;AUTO CENTER VALVERDE LTDA - ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024064;AUTO FORT STª CRUZ;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
00000003;AUTO CENTER SÃO JENUARIO;MGVSERVISOS;0;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;SÃO CRISTOVÃO;RUA;SÃO JENUARIO/VASCO DA GAMA;817;;20921004;;2122630098;;;;;;;;;;;;;;;
77024068;AUTOMOVIA NEGÓCIOS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024069;AUTO PEÇAS JAF DE PACIENCIA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024071;AUTO SPAZIO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024072;AUTOTEC COMERCIO DE PEÇAS E ACESSÓRIO LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024073;AUTO VIA SANTA CRUZ;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024074;AVANTE AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024070;AUTO PNEUS ALBANEZ LTDA ME;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;ROCHA MIRANDA;AVENIDA;AVENIDA DOS ITALIANOS;832;AVENIDA;21510101;;;;;;;;;;;;;;;;;
77024079;BELÉM (AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024080;BELOCAR SILENCIOSOS LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024082;bernard;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024083;Bernard lider;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024084;BETO BONSUCESSO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024085;BETO MAGARÇA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024155;CASTELO BRANCO 03;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024086;BFG RODAS E PNEUS LTDA;;1;Brasil;RIO DE JANEIRO;BELFORD ROXO;LOTE 15;AVENIDA;JOAQUIM DA COSTA LIMA;0;AVENIDA;26130000;;;;;;;;;;;;;;;;;
77024087;B & H LIMA CENTRO AUTOMOTIVO LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024156;CATIA RAQUEL DA SILVA COMERCIO E SERVIÇOS PNEUMATICOS E CAMARA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024088;BILLY;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024089;BOA ES;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024090;BORRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024093;BORRACHARIA BEIJA FLOR LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024094;BORRACHARIA BONANÇA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024095;BORRACHARIA BOX 1000 LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024099;BORRACHARIA DEMARTINI;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024157;CAVALIERI CENTRO AUTOMOTIVO LTDA ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024100;BORRACHARIA DEMARTINI LTDA - ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024101;BORRACHARIA DIGÃO  ( THIANA );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024102;BORRACHARIA DO LULA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024103;BORRACHARIA DO MAX ( MAXWEL MARQUES DE RAMOS );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024104;BORRACHARIA DO VALE LTDA ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024106;BORRACHARIA K&C ( Esy );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024107;BORRACHARIA  K & C  ( MARTINS );;1;Brasil;RIO DE JANEIRO;Duque de Caxias;IMBARIE;Avenida Coronel Sisson;QUADRA 12 LOTE 02 LOJA 02;1092;;25266000;21999840083;;;;;;;;;;;;;;;;
77024108;BORRACHARIA LIDER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024109;BORRACHARIA MATRIZ;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024110;BORRACHARIA NOSSA  DAS GRAÇAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024111;BORRACHARIA RUBINICO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024112;BORRACHARIA SANTA ISABEL;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024113;BORRACHARIA TINDIBA LTDA - ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024114;BORRACHARRIA MVR LTDA ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024117;BALEIA PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024120;BORR DO VALE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024176;CHALÉ;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024121;BORR. RIO DOS CAVALEIROS  (CHICO RIO DO OURO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024122;BOX 1000  (ELYELSON);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024123;BOX 495 AUTO PARK;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024124;BRASIL PNEUS  ( SIMAR );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024125;BR BORRACHARIA  (LEONARDO );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024126;BRUNO  (AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024127;BRUNO CESAR  ( NOVA DIREÇÃO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024128;BRUNO DE SOUZA (AMIGO DO DIEGO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024129;BUIQUE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024133;CAFUNDÁ;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;Jacarepaguá;ESTRADA;ESTRADA DO CAFUNDÁ;604;LOJA (TANQUE);22730540;;;;;;;;;;;;;;;;;
77024130;BUSTAMANTE  ( BRISA );;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;SEPETIBA;ESTRADA;ESTRADA DO PIAÍ;;LOJA;23028051;;;;;;;;;;;;;;;;;
77024134;CAI;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024131;BUSTAMANTE  CENTER;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;CAMPO GRANDE;ESTRADA;ESTRADA DO CAMPINHO;2890;LOJA;23070220;;;;;;;;;;;;;;;;;
77024177;CLAUDEMIR NOGUEIRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024140;CARLINHOS AUTO CENTER  (COXINHA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024162;CELSO  VOUGA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024141;CARLOS (AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024142;CARLOS EDUARDO (AMIGO DO DIEGO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024144;CARLOS ( Levi );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024143;CARLOS HENRIQUE (AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024178;CLAUDIO (AMIGO DO PAULISTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024145;CARLOS OTÁVIO QUERES;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024146;CARLOS PORTA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024147;CARVALHO REBOQUES;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024148;CASA BOA ESPERANÇA DE PNEUS  LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024149;CASA DE OLEO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024179;CLAUDIO COSTA DEOLIVEIRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024150;CASA DE OLÉO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024201;( DIAMANTINO ) AUTO SERVICO FOR DA TAQUARA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024180;CLAUDIO COSTA DE OLIVEIRA  (RONDON CAR);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024151;CASA GRANDE;;1;Brasil;RIO DE JANEIRO;BELFORD ROXO;PIAM;AVENIDA;AVENIDA RETIRO DA IMPRENSA;1707;LOJA;26112180;;;;;;;;;;;;;;;;;
77024181;CLAUDIO DA ROCHA LIMA  ( KIKO );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024188;C NOGUEIRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024152;CASAS DE PEÇAS ACESSORIOS E SOM PUENTEAREAS  LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024154;CASA TAROUCA DE PNEUS;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;Engenho Novo;RUA;Rua General Belegarde;45;LOJA;20710003;;;;;;;;;;;;;;;;;
77024153;CASA TAROUCA;;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024158;CAXIAS AUTO CENTER 2000 LTDA ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024159;CAXIAS CAR AUTO CENTER E BORRACHARIA;;1;Brasil;RIO DE JANEIRO;DUQUE DE CAXIAS;VILA SÃO LUIS;RUA;JOSÉ EXPEDICIONÁRIO JOSÉ AMARO;1439;;25065090;;;;;;;;;;;;;;;;;
77024160;C&C BERG'S COM DE PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024161;CELSO  PEREIRA DA CUNHA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024164;CENTRAL PARK;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024165;CENTRO AUTO JORGE LUIZ;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024166;CENTRO AUTOMOTIVO BILL  ( ELENILDO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024167;CENTRO AUTOMOTIVO CARVALHÃO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024168;CENTRO AUTOMOTIVO CIPAN;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024170;CENTRO AUTOMOTIVO MONTE CALDAS EIRELI;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024171;CENTRO AUTOMOTIVO PRONT CAR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024169;CENTRO AUTOMOTIVO MOLAS TIGRE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024172;CENTRO AUTOMOTIVOS PRONT CAR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024173;CENTRO GUGU AUTOMOTIVO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024163;CELSO VOUGA;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;CASCACURA;RUA;ITAMARATI;84;LOJA C/D;21350050;;;;;;;;;;;;;;;;;
77024174;CENTRO MUNDIAL DE SERVIÇOS AUTOMOTIVOS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024175;CESAR BORRACHEIRO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024189;COOP AUTO CENTER GNV PEÇAS LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024182;CLAUDIO DE OLIVEIRA  (RONDON CAR);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024183;CLAUDIO ROBERTO BARRETO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024184;CL BORRACHARIA  ( VINICIO );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024185;CLEBER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024186;CLEBER  ( NEI);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024187;CLODOALDO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024190;CRISTIA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024191;CRISTIANO DA SILVA VIANNA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024192;CRISTIANO MMC;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024193;CRISTIANO  SOUZA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024194;CRISTIANO USADOS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024195;CRITIANO (SEGURANÇA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024196;DANIEL;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024197;DANIEL PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024202;DIEGO FERNANDES;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;SANTA CRUZ;RUA;RUA ENGENHEIRO GASTÃO RANGEL;1080;LOJA;23550393;;;;;;;;;;;;;;;;;
77024199;DENWIL;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024200;DEXTER PNEUS;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;VILA KOSMOS;AVENIDA;AV MERITI;3415;AVENIDA;21220202;;;;;;;;;;;;;;;;;
